Artist,Song,URL,User_Rating,Vocalist,BPM,Genre,Release_Year,Duration_MM_SS,YT_Play_Count
"AC/DC","Thunderstruck","https://www.youtube.com/watch?v=lhg9bYNLvOg","8","Male","133","Hard Rock","1990","4:52",""
"Bob Marley","Three Little Birds","https://www.youtube.com/watch?v=LanCLS_hIo4","9","Male","75","Reggae","1977","3:00",""
"The Streets","Fit But You Know It","https://www.youtube.com/watch?v=XEN8uCaBvdg","2","Male","135","UK Garage","2004","4:14",""
"Suki Waterhouse","To Get You","https://www.youtube.com/watch?v=5CPv3ULlWkA","4","Female","140","Indie Pop","2022","3:30",""
"Cranberries","Dreams","https://www.youtube.com/watch?v=xc6ulrb2foQ","8","Female","129","Alt Rock","1992","4:32",""
"Chuck Berry","Johnny B Goode","https://www.youtube.com/watch?v=TReqmJ7iX2M","8","Male","168","Rock and Roll","1958","2:41",""
"Toto","Africa","https://www.youtube.com/watch?v=U1LB_OerHCE","5","Male","93","Soft Rock","1982","4:55",""
"Grateful Dead","Ripple","https://www.youtube.com/watch?v=5wh7ylJManI","7","Male","70","Folk Rock","1970","4:09",""
"Wagner","Tannhäuser Overture","https://www.youtube.com/watch?v=SRmCEGHt-Qk","7","Instrumental","Varies","Classical","1845","14:00",""
"Sublime","Santeria","https://www.youtube.com/watch?v=YkcY8WUwQ-s","6","Male","90","Ska Punk","1996","3:03",""
"Chet Faker","Gold","https://www.youtube.com/watch?v=DoJtFI9R4tM","6","Male","110","Electronica","2014","4:45",""
"Bill Withers","Ain’t No Sunshine","https://www.youtube.com/watch?v=YuKfiH0Scao","7","Male","79","Soul","1971","2:04",""
"Prokofiev","Song About Alexander Nevsky","https://www.youtube.com/watch?v=zmsdYLgND9s","6","Choral","Varies","Classical","1938","3:00",""
"Irene Cara","What a Feeling","https://www.youtube.com/watch?v=A64KVUfo4ew","6","Female","122","Synthpop","1983","3:53",""
"Portishead","The Rip","https://www.youtube.com/watch?v=artaYKPCt_E","3","Female","102","Trip Hop","2008","4:29",""
"Dire Straits","Money for Nothing","https://www.youtube.com/watch?v=wTP2RUD_cL0","9","Male","134","Rock","1985","8:26",""
"Beck","Loser","https://www.youtube.com/watch?v=0OhUxj8Fewc","4","Male","85","Alt Rock","1993","3:55",""
"T-Rex","Bang a Gong","https://www.youtube.com/watch?v=TVEhDrJzM8E","7","Male","130","Glam Rock","1971","4:25",""
"Kate Bush","Running Up that Hill","https://www.youtube.com/watch?v=HYwNM1t9ltI","4","Female","108","Art Pop","1985","4:58",""
"Bruce Springsteen","I'm Goin' Down","https://www.youtube.com/watch?v=FDePd-mHOL4","9","Male","116","Heartland Rock","1984","3:29",""
"The Beach Boys","Sloop John B","https://www.youtube.com/watch?v=tLoS8bGr0uo","8","Male","135","Pop Rock","1966","2:56",""
"Bob Dylan and Johnny Cash","Girl from the North Country","https://www.youtube.com/watch?v=Je4Eg77YSSA","9","Male","60","Folk","1969","3:41",""
"Kanye West","Runaway","https://www.youtube.com/watch?v=2D-JwgfxslM","5","Male","90","Hip Hop","2010","9:08",""
"The Beatles","Let It Be","https://www.youtube.com/watch?v=QDYfEBY9NM4","9","Male","72","Pop Rock","1970","4:03",""
"Fazerdaze","Cherry Pie","https://www.youtube.com/watch?v=C2JlV5mEBVQ","2","Female","120","Indie Pop","2024","3:00",""
"Madonna","Like a Prayer","https://www.youtube.com/watch?v=b_rIk8yKDGI","5","Female","111","Pop","1989","5:41",""
"The Ronettes","Be My Little Baby","https://www.youtube.com/watch?v=jSPpbOGnFgk","5","Female","130","Pop","1963","2:40",""
"The Dixie Cups","Iko Iko","https://www.youtube.com/watch?v=KMrrp8kAmbc","2","Female","165","R&B Pop","1965","2:03",""
"Nico","These Days","https://www.youtube.com/watch?v=0_z_UEuEMAo","4","Female","92","Folk","1967","3:34",""
