year,country,host,medals_total,GDP_billion_USD (nominal est),population_million,snowfall_cm,snowiest_metro_approx,highest_elevation_m,average_height_cm (est),average_weight_kg (est)
1924,Norway,No,17,1.2,2.4,120,Oslo area,2469,168,63
1924,Finland,No,11,0.8,3.1,200,Helsinki region,1324,168,62
1924,United States,No,4,87,110,250,Lake Placid area,6190,169,68
1924,Sweden,No,4,2.5,6.0,150,Stockholm/northern areas,2100,170,65
1924,Austria,No,3,1.5,6.5,300,Innsbruck area,3798,167,62
1928,Norway,No,6,1.3,2.7,120,Oslo area,2469,169,64
1928,United States,Yes,6,97,120,250,Lake Placid area,6190,170,69
1928,Finland,No,5,1.0,3.4,200,Helsinki region,1324,169,63
1928,Canada,No,4,4.5,9.6,400,Calgary/Rockies,5959,170,68
1928,Austria,No,3,1.8,6.6,300,Innsbruck area,3798,168,63
1932,United States,Yes,12,59,125,250,Lake Placid area,6190,170,70
1932,Norway,No,10,1.0,2.8,120,Oslo area,2469,170,65
1932,Canada,No,7,3.5,10.4,400,Calgary/Rockies,5959,171,69
1932,Finland,No,5,0.7,3.7,200,Helsinki region,1324,170,64
1936,Norway,No,15,1.4,3.0,120,Oslo area,2469,170,65
1936,Germany,Yes,6,85,69,250,Garmisch/Bavarian Alps,2962,169,65
1936,Sweden,No,6,3.0,6.2,150,Stockholm/northern areas,2100,171,66
1936,Finland,No,5,1.1,3.8,200,Helsinki region,1324,170,64
1936,Austria,No,4,1.5,6.8,300,Innsbruck area,3798,169,64
1948,Norway,No,29,2.0,3.1,120,Oslo area,2469,170,65
1948,Sweden,No,18,5.0,6.7,150,Stockholm/northern areas,2100,171,66
1948,Switzerland,Yes,9,3.5,4.7,500,St. Moritz region,4634,169,64
1948,United States,No,9,258,146,250,Lake Placid area,6190,171,72
1948,Finland,No,8,1.5,4.0,200,Helsinki region,1324,170,65
1952,Norway,Yes,16,2.8,3.4,120,Oslo area,2469,171,66
1952,United States,No,11,358,157,250,Lake Placid area,6190,171,73
1952,Finland,No,9,2.0,4.1,200,Helsinki region,1324,171,65
1952,Austria,No,8,3.0,6.9,300,Innsbruck area,3798,170,65
1956,Soviet Union,No,16,90,200,300,Caucasus/Sochi area,5642,168,65
1956,United States,No,7,420,168,250,Lake Placid area,6190,171,74
1956,Norway,No,6,4.0,3.4,120,Oslo area,2469,171,66
1956,Austria,No,6,5.0,7.0,300,Innsbruck area,3798,170,65
1956,Finland,No,6,3.5,4.3,200,Helsinki region,1324,171,65
1960,Soviet Union,No,21,110,215,300,Caucasus/Sochi area,5642,169,66
1960,United States,Yes,10,543,180,250,Lake Placid area,6190,171,75
1960,Norway,No,6,5.5,3.6,120,Oslo area,2469,172,67
1960,Sweden,No,6,10,7.5,150,Stockholm/northern areas,2100,172,68
1960,Finland,No,5,5.0,4.4,200,Helsinki region,1324,171,66
1964,Soviet Union,No,25,130,230,300,Caucasus/Sochi area,5642,170,67
1964,Norway,No,15,7.0,3.7,120,Oslo area,2469,172,67
1964,Sweden,No,8,12,7.7,150,Stockholm/northern areas,2100,172,68
1964,Austria,Yes,10,8.0,7.2,300,Innsbruck area,3798,171,66
1964,Finland,No,6,6.5,4.5,200,Helsinki region,1324,172,67
1968,Norway,No,14,9.0,3.8,120,Oslo area,2469,172,68
1968,Soviet Union,No,13,150,240,300,Caucasus/Sochi area,5642,170,67
1968,France,Yes,9,129,50,400,Chamonix/Alps region,4810,171,67
1968,Netherlands,No,9,N/A,12.8,50,Alpine areas if any,322,178,75
1968,Sweden,No,8,15,7.9,150,Stockholm/northern areas,2100,173,69
1972,Soviet Union,No,16,320,245,300,Caucasus/Sochi area,5642,171,68
1972,East Germany,No,14,40,17,150,Harz Mountains region,1141,170,66
1972,Switzerland,No,10,25,6.4,500,St. Moritz region,4634,172,68
1972,Netherlands,No,9,N/A,13.5,50,Alpine areas if any,322,179,76
1972,United States,No,8,1280,208,250,Lake Placid area,6190,172,78
1976,Soviet Union,No,26,280,260,300,Caucasus/Sochi area,5642,171,68
1976,East Germany,No,19,50,17.8,150,Harz Mountains region,1141,170,66
1976,West Germany,No,10,500,61,250,Bavarian Alps region,2962,174,76
1976,Norway,No,3,25,4.0,120,Oslo area,2469,173,70
1976,United States,No,3,1800,218,250,Lake Placid area,6190,173,79
1980,Soviet Union,Yes,22,300,265,300,Caucasus/Sochi area,5642,171,68
1980,East Germany,No,23,60,17,150,Harz Mountains region,1141,170,66
1980,United States,No,12,2862,227,250,Lake Placid area,6190,172,78
1980,Norway,No,10,35,4.1,120,Oslo area,2469,173,70
1980,Finland,No,9,30,4.8,200,Helsinki region,1324,173,70
1984,Soviet Union,Yes,22,320,275,300,Caucasus/Sochi area,5642,171,68
1984,East Germany,No,24,70,17,150,Harz Mountains region,1141,170,66
1984,Finland,No,13,45,4.9,200,Helsinki region,1324,174,71
1984,Sweden,No,8,80,8.3,150,Stockholm/northern areas,2100,175,74
1988,Soviet Union,Yes,29,350,286,300,Caucasus/Sochi area,5642,172,69
1988,East Germany,No,19,80,16.6,150,Harz Mountains region,1141,171,67
1988,Switzerland,No,15,150,6.6,500,St. Moritz region,4634,173,71
1988,Finland,No,10,60,5.0,200,Helsinki region,1324,174,71
1988,Sweden,No,6,120,8.5,150,Stockholm/northern areas,2100,175,74
1988,Canada,Yes,5,594,26,400,Calgary/Rockies,5959,172,72
1992,Unified Team,No,23,400,290,300,Caucasus/Sochi area,5642,172,69
1992,Germany,No,26,1700,80,250,Bavarian Alps region,2962,175,78
1992,Austria,No,21,170,7.9,300,Innsbruck area,3798,172,70
1992,Norway,No,12,120,4.3,120,Oslo area,2469,173,71
1994,Norway,Yes,26,130,4.3,120,Oslo area,2469,172,70
1994,Russia,No,23,400,148,400,Caucasus/Sochi area,5642,171,70
1994,Germany,No,17,1700,81,250,Bavarian Alps region,2962,175,78
1994,Italy,No,13,800,57,400,Cortina/Dolomites area,4806,172,70
1994,United States,No,13,7300,260,250,Lake Placid area,6190,174,80
1998,Germany,No,29,2200,82,250,Bavarian Alps region,2962,176,79
1998,Norway,No,25,150,4.5,120,Oslo area,2469,175,76
1998,Russia,No,18,270,146,400,Caucasus/Sochi area,5642,172,71
1998,Netherlands,No,11,N/A,15.7,50,Alpine areas if any,322,181,83
1998,Austria,No,12,170,8.1,300,Innsbruck area,3798,173,71
1998,Japan,Yes,10,4000,126,485,Sapporo/Hokkaido,3776,165,60
2002,Germany,No,36,2000,82,250,Bavarian Alps region,2962,176,79
2002,United States,Yes,34,10929,288,250,Lake Placid area,6190,173,80
2002,Norway,No,24,170,4.5,120,Oslo area,2469,175,76
2002,Russia,No,16,300,144,400,Caucasus/Sochi area,5642,172,71
2002,Canada,No,17,700,31,400,Calgary/Rockies,5959,174,76
2006,Germany,No,29,3000,82,250,Bavarian Alps region,2962,177,80
2006,United States,No,25,14000,298,250,Lake Placid area,6190,174,81
2006,Austria,No,23,320,8.3,300,Innsbruck area,3798,174,77
2006,Canada,No,24,1300,32,400,Calgary/Rockies,5959,175,78
2006,Italy,Yes,11,1900,58,300,Cortina/Dolomites area,4806,173,72
2010,United States,No,37,15000,309,250,Lake Placid area,6190,175,81
2010,Germany,No,30,3300,82,250,Bavarian Alps region,2962,178,80
2010,Canada,Yes,26,1611,34,400,Calgary/Rockies,5959,175,79
2010,Norway,No,23,430,4.9,120,Oslo area,2469,178,81
2010,Austria,No,17,390,8.4,300,Innsbruck area,3798,174,77
2010,Switzerland,No,9,550,7.8,500,St. Moritz region,4634,174,77
2010,Sweden,No,12,460,9.4,150,Stockholm/northern areas,2100,178,80
2014,Russia,Yes,33,2059,144,400,Caucasus/Sochi area,5642,170,70
2014,Norway,No,26,500,5.1,120,Oslo area,2469,178,81
2014,Canada,No,25,1800,35,400,Calgary/Rockies,5959,175,79
2014,United States,No,28,17000,318,250,Lake Placid area,6190,175,81
2014,Netherlands,No,24,N/A,16.8,50,Alpine areas if any,322,182,84
2018,Norway,No,39,440,5.3,120,Oslo area,2469,179,82
2018,Germany,No,31,4000,83,250,Bavarian Alps region,2962,179,81
2018,Canada,No,29,1700,37,400,Calgary/Rockies,5959,175,79
2018,United States,No,23,20500,327,250,Lake Placid area,6190,175,81
2018,Netherlands,No,20,N/A,17,50,Alpine areas if any,322,183,85
2022,Norway,No,37,500,5.4,120,Oslo area,2469,179,82
2022,Russian Olympic Committee,No,32,1800,144,400,Caucasus/Sochi area,5642,173,75
2022,Germany,No,27,4000,83,250,Bavarian Alps region,2962,179,81
2022,United States,No,25,23000,331,250,Lake Placid area,6190,175,82
2022,China,Yes,15,17963,1412,200,Zhangjiakou/Beijing north,8849,169,65
