Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
ACDC: Thunderstruck,https://www.youtube.com/watch?v=lhg9bYNLvOg,8.0,7.0,4.0,10.0,1.0,2.0,5.0,9.0,7.0,8.0,8.0,7.0,10.0,3.0,8.0,6.0,7.0,10.0,8.0,8.0,8.0,7.0,2.0,7.0,6.0,9.0,6.0,9.0,7.0,5.0,9.0,5.0,2.0
Bob Marley: Three Little Birds,https://www.youtube.com/watch?v=LanCLS_hIo4,9.0,3.0,10.0,10.0,8.0,3.0,2.0,6.0,9.0,7.0,9.0,8.0,5.0,10.0,8.0,6.0,6.0,10.0,5.0,5.0,9.0,9.0,7.0,6.0,6.0,6.0,4.0,8.0,9.0,6.0,5.0,8.0,2.0
The Streets: Fit But You Know It,https://www.youtube.com/watch?v=XEN8uCaBvdg,2.0,7.0,5.0,5.0,2.0,2.0,1.0,2.0,8.0,1.0,3.0,5.0,1.0,2.0,5.0,8.0,2.0,10.0,1.0,5.0,6.0,2.0,1.0,1.0,5.0,1.0,6.0,3.0,6.0,5.0,2.0,1.0,1.0
Suki Waterhouse: To Get You,https://www.youtube.com/watch?v=5CPv3ULlWkA,4.0,7.0,9.0,6.0,7.0,2.0,5.0,2.0,6.0,7.0,10.0,9.0,6.0,5.0,7.0,4.0,5.0,7.0,3.0,7.0,3.0,5.0,7.0,4.0,2.0,6.0,5.0,6.0,7.0,3.0,6.0,3.0,4.0
Cranberries: Dreams,https://www.youtube.com/watch?v=xc6ulrb2foQ,8.0,7.0,7.0,6.0,10.0,2.0,4.0,5.0,5.0,7.0,10.0,8.0,6.0,10.0,9.0,3.0,6.0,7.0,4.0,8.0,5.0,4.0,9.0,6.0,9.0,4.0,6.0,7.0,7.0,9.0,8.0,5.0,6.0
Chuck Berry: Johnny B Goode,https://www.youtube.com/watch?v=TReqmJ7iX2M,8.0,8.0,10.0,8.0,6.0,9.0,7.0,8.0,8.0,5.0,6.0,7.0,7.0,1.0,7.0,8.0,7.0,10.0,7.0,4.0,7.0,8.0,5.0,7.0,7.0,9.0,6.0,8.0,7.0,5.0,8.0,9.0,6.0
Toto: Africa,https://www.youtube.com/watch?v=U1LB_OerHCE,5.0,4.0,6.0,9.0,8.0,4.0,9.0,9.0,9.0,10.0,9.0,7.0,7.0,10.0,8.0,4.0,7.0,8.0,7.0,8.0,8.0,6.0,9.0,7.0,4.0,9.0,6.0,9.0,8.0,7.0,7.0,10.0,3.0
Grateful Dead: Ripple,https://www.youtube.com/watch?v=5wh7ylJManI,7.0,10.0,8.0,8.0,8.0,3.0,4.0,5.0,7.0,6.0,9.0,6.0,7.0,8.0,7.0,6.0,7.0,4.0,2.0,6.0,6.0,4.0,2.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,3.0,1.0,5.0
Wagner: Tannhäuser Overture,https://www.youtube.com/watch?v=SRmCEGHt-Qk,7.0,8.0,9.0,9.0,8.0,8.0,7.0,5.0,6.0,9.0,5.0,9.0,7.0,3.0,7.0,10.0,9.0,8.0,9.0,6.0,5.0,6.0,9.0,2.0,7.0,8.0,9.0,8.0,2.0,7.0,8.0,9.0,10.0
Sublime: Santeria,https://www.youtube.com/watch?v=YkcY8WUwQ-s,6.0,10.0,6.0,6.0,8.0,3.0,6.0,8.0,4.0,3.0,9.0,9.0,7.0,4.0,7.0,1.0,6.0,10.0,2.0,6.0,7.0,9.0,6.0,4.0,8.0,9.0,4.0,8.0,10.0,8.0,9.0,7.0,2.0
Chet Faker: Gold,https://www.youtube.com/watch?v=DoJtFI9R4tM,6.0,5.0,7.0,7.0,5.0,3.0,6.0,5.0,6.0,8.0,4.0,3.0,4.0,3.0,6.0,2.0,5.0,8.0,2.0,2.0,4.0,7.0,2.0,3.0,4.0,1.0,7.0,6.0,3.0,4.0,7.0,10.0,3.0
Bill Withers: Ain’t No Sunshine,https://www.youtube.com/watch?v=YuKfiH0Scao,7.0,8.0,8.0,10.0,8.0,3.0,5.0,7.0,8.0,8.0,7.0,9.0,7.0,5.0,8.0,7.0,7.0,8.0,3.0,4.0,5.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,10.0,5.0,9.0,10.0,7.0
Prokofiev: Song About Alexander Nevsky,https://www.youtube.com/watch?v=zmsdYLgND9s,6.0,7.0,8.0,6.0,5.0,6.0,4.0,4.0,7.0,7.0,5.0,7.0,3.0,6.0,6.0,8.0,7.0,5.0,8.0,7.0,4.0,3.0,7.0,3.0,6.0,4.0,7.0,7.0,2.0,5.0,4.0,8.0,8.0
Irene Cara: What a Feeling,https://www.youtube.com/watch?v=A64KVUfo4ew,6.0,5.0,5.0,5.0,4.0,2.0,6.0,6.0,4.0,8.0,5.0,7.0,9.0,4.0,6.0,1.0,4.0,7.0,6.0,6.0,8.0,6.0,10.0,3.0,7.0,3.0,8.0,8.0,5.0,7.0,2.0,6.0,4.0
Portishead: The Rip,https://www.youtube.com/watch?v=artaYKPCt_E,3.0,4.0,8.0,6.0,7.0,2.0,5.0,2.0,5.0,4.0,1.0,8.0,3.0,6.0,6.0,2.0,4.0,2.0,3.0,7.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,3.0,5.0,3.0,5.0,6.0
