Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,YT_View_Count,YT_Like_Count,YT_Comment_Count,YT_Duration_Seconds,Exact_Publish_Date
ACDC: Thunderstruck,https://www.youtube.com/watch?v=lhg9bYNLvOg,8.0,7.0,4.0,10.0,1.0,2.0,5.0,9.0,7.0,8.0,8.0,7.0,10.0,3.0,8.0,6.0,7.0,10.0,8.0,8.0,8.0,7.0,2.0,7.0,6.0,9.0,6.0,9.0,7.0,5.0,9.0,5.0,2.0,473253066,3604438,12757,293,2018-10-25
Bob Marley: Three Little Birds,https://www.youtube.com/watch?v=LanCLS_hIo4,9.0,3.0,10.0,10.0,8.0,3.0,2.0,6.0,9.0,7.0,9.0,8.0,5.0,10.0,8.0,6.0,6.0,10.0,5.0,5.0,9.0,9.0,7.0,6.0,6.0,6.0,4.0,8.0,9.0,6.0,5.0,8.0,2.0,185320322,863350,37502,182,2009-07-11
The Streets: Fit But You Know It,https://www.youtube.com/watch?v=XEN8uCaBvdg,2.0,7.0,5.0,5.0,2.0,2.0,1.0,2.0,8.0,1.0,3.0,5.0,1.0,2.0,5.0,8.0,2.0,10.0,1.0,5.0,6.0,2.0,1.0,1.0,5.0,1.0,6.0,3.0,6.0,5.0,2.0,1.0,1.0,3010731,34212,251,255,2017-01-25
Suki Waterhouse: To Get You,https://www.youtube.com/watch?v=5CPv3ULlWkA,4.0,7.0,9.0,6.0,7.0,2.0,5.0,2.0,6.0,7.0,10.0,9.0,6.0,5.0,7.0,4.0,5.0,7.0,3.0,7.0,3.0,5.0,7.0,4.0,2.0,6.0,5.0,6.0,7.0,3.0,6.0,3.0,4.0,83813,1709,85,245,2024-09-13
Cranberries: Dreams,https://www.youtube.com/watch?v=xc6ulrb2foQ,8.0,7.0,7.0,6.0,10.0,2.0,4.0,5.0,5.0,7.0,10.0,8.0,6.0,10.0,9.0,3.0,6.0,7.0,4.0,8.0,5.0,4.0,9.0,6.0,9.0,4.0,6.0,7.0,7.0,9.0,8.0,5.0,6.0,8412712,66682,2313,255,2017-04-23
Chuck Berry: Johnny B Goode,https://www.youtube.com/watch?v=TReqmJ7iX2M,8.0,8.0,10.0,8.0,6.0,9.0,7.0,8.0,8.0,5.0,6.0,7.0,7.0,1.0,7.0,8.0,7.0,10.0,7.0,4.0,7.0,8.0,5.0,7.0,7.0,9.0,6.0,8.0,7.0,5.0,8.0,9.0,6.0,31612231,344883,377,163,2017-02-26
Toto: Africa,https://www.youtube.com/watch?v=U1LB_OerHCE,5.0,4.0,6.0,9.0,8.0,4.0,9.0,9.0,9.0,10.0,9.0,7.0,7.0,10.0,8.0,4.0,7.0,8.0,7.0,8.0,8.0,6.0,9.0,7.0,4.0,9.0,6.0,9.0,8.0,7.0,7.0,10.0,3.0,18509960,134327,6460,295,2022-10-09
Grateful Dead: Ripple,https://www.youtube.com/watch?v=5wh7ylJManI,7.0,10.0,8.0,8.0,8.0,3.0,4.0,5.0,7.0,6.0,9.0,6.0,7.0,8.0,7.0,6.0,7.0,4.0,2.0,6.0,6.0,4.0,2.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,3.0,1.0,5.0,2249587,20135,530,252,2015-03-28
Wagner: Tannhäuser Overture,https://www.youtube.com/watch?v=SRmCEGHt-Qk,7.0,8.0,9.0,9.0,8.0,8.0,7.0,5.0,6.0,9.0,5.0,9.0,7.0,3.0,7.0,10.0,9.0,8.0,9.0,6.0,5.0,6.0,9.0,2.0,7.0,8.0,9.0,8.0,2.0,7.0,8.0,9.0,10.0,15896079,109297,10683,936,2011-03-11
Sublime: Santeria,https://www.youtube.com/watch?v=YkcY8WUwQ-s,6.0,10.0,6.0,6.0,8.0,3.0,6.0,8.0,4.0,3.0,9.0,9.0,7.0,4.0,7.0,1.0,6.0,10.0,2.0,6.0,7.0,9.0,6.0,4.0,8.0,9.0,4.0,8.0,10.0,8.0,9.0,7.0,2.0,168552,1100,24,184,2018-12-04
Chet Faker: Gold,https://www.youtube.com/watch?v=DoJtFI9R4tM,6.0,5.0,7.0,7.0,5.0,3.0,6.0,5.0,6.0,8.0,4.0,3.0,4.0,3.0,6.0,2.0,5.0,8.0,2.0,2.0,4.0,7.0,2.0,3.0,4.0,1.0,7.0,6.0,3.0,4.0,7.0,10.0,3.0,446386,3817,39,286,2014-05-12
Bill Withers: Ain’t No Sunshine,https://www.youtube.com/watch?v=YuKfiH0Scao,7.0,8.0,8.0,10.0,8.0,3.0,5.0,7.0,8.0,8.0,7.0,9.0,7.0,5.0,8.0,7.0,7.0,8.0,3.0,4.0,5.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,10.0,5.0,9.0,10.0,7.0,38516451,532206,8554,127,2015-06-13
Prokofiev: Song About Alexander Nevsky,https://www.youtube.com/watch?v=zmsdYLgND9s,6.0,7.0,8.0,6.0,5.0,6.0,4.0,4.0,7.0,7.0,5.0,7.0,3.0,6.0,6.0,8.0,7.0,5.0,8.0,7.0,4.0,3.0,7.0,3.0,6.0,4.0,7.0,7.0,2.0,5.0,4.0,8.0,8.0,10715,111,2,212,2018-07-30
Irene Cara: What a Feeling,https://www.youtube.com/watch?v=A64KVUfo4ew,6.0,5.0,5.0,5.0,4.0,2.0,6.0,6.0,4.0,8.0,5.0,7.0,9.0,4.0,6.0,1.0,4.0,7.0,6.0,6.0,8.0,6.0,10.0,3.0,7.0,3.0,8.0,8.0,5.0,7.0,2.0,6.0,4.0,199350,2584,125,233,2021-12-30
Portishead: The Rip,https://www.youtube.com/watch?v=artaYKPCt_E,3.0,4.0,8.0,6.0,7.0,2.0,5.0,2.0,5.0,4.0,1.0,8.0,3.0,6.0,6.0,2.0,4.0,2.0,3.0,7.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,3.0,5.0,3.0,5.0,6.0,414470,3747,177,275,2017-10-07
Dire Straits: Money for Nothing,https://www.youtube.com/watch?v=wTP2RUD_cL0,9.0,10.0,2.0,6.0,8.0,2.0,5.0,10.0,8.0,7.0,3.0,8.0,9.0,8.0,8.0,1.0,6.0,10.0,4.0,7.0,8.0,3.0,2.0,2.0,5.0,7.0,4.0,4.0,9.0,8.0,10.0,8.0,2.0,160019456,1098981,35532,279,2010-02-23
Beck: Loser,https://www.youtube.com/watch?v=0OhUxj8Fewc,4.0,9.0,5.0,2.0,8.0,2.0,1.0,2.0,3.0,2.0,2.0,9.0,8.0,10.0,9.0,7.0,3.0,10.0,3.0,6.0,4.0,6.0,1.0,1.0,5.0,2.0,2.0,3.0,7.0,3.0,8.0,5.0,1.0,5742108,45718,2746,235,2011-02-08
T-Rex: Bang a Gong,https://www.youtube.com/watch?v=TVEhDrJzM8E,7.0,6.0,2.0,8.0,7.0,3.0,2.0,6.0,5.0,6.0,3.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,3.0,6.0,3.0,7.0,3.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,1.0,1.0,24330461,137943,6475,267,2008-07-18
Kate Bush: Running Up that Hill,https://www.youtube.com/watch?v=HYwNM1t9ltI,4.0,9.0,5.0,9.0,3.0,2.0,9.0,4.0,9.0,7.0,8.0,3.0,8.0,7.0,5.0,4.0,7.0,9.0,10.0,5.0,6.0,2.0,8.0,5.0,7.0,4.0,7.0,6.0,5.0,7.0,3.0,9.0,7.0,16863451,181944,3569,301,2023-03-03
Bruce Springsteen: I'm Goin' Down,https://www.youtube.com/watch?v=FDePd-mHOL4,9.0,8.0,6.0,3.0,6.0,4.0,8.0,6.0,4.0,7.0,6.0,6.0,9.0,8.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,3.0,9.0,8.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,14301317,77913,1185,208,2014-11-08
The Beach Boys: Sloop John B,https://www.youtube.com/watch?v=tLoS8bGr0uo,8.0,7.0,5.0,7.0,6.0,5.0,7.0,4.0,7.0,5.0,9.0,9.0,4.0,10.0,6.0,7.0,5.0,9.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0,6.0,4.0,4.0,2.0,2.0,3.0,2691486,17962,702,181,2017-03-02
Bob Dylan and Johnny Cash: Girl from the North Country,https://www.youtube.com/watch?v=Je4Eg77YSSA,9.0,7.0,8.0,9.0,10.0,6.0,8.0,8.0,5.0,5.0,6.0,7.0,5.0,7.0,9.0,6.0,6.0,7.0,3.0,6.0,3.0,8.0,4.0,6.0,7.0,4.0,8.0,5.0,5.0,6.0,8.0,3.0,3.0,7481269,75183,2884,222,2019-03-11
Kanye West: Runaway,https://www.youtube.com/watch?v=2D-JwgfxslM,5.0,7.0,6.0,7.0,8.0,1.0,4.0,5.0,6.0,4.0,8.0,4.0,6.0,2.0,8.0,1.0,6.0,6.0,6.0,5.0,7.0,6.0,1.0,2.0,8.0,8.0,2.0,8.0,10.0,9.0,3.0,8.0,1.0,362983,2831,269,549,2021-07-06
The Beatles: Let It Be,https://www.youtube.com/watch?v=QDYfEBY9NM4,9.0,6.0,6.0,10.0,8.0,3.0,9.0,4.0,6.0,10.0,10.0,9.0,3.0,8.0,8.0,3.0,8.0,10.0,5.0,6.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,1.0,5.0,214384753,1594089,24677,244,2018-06-17
Fazerdaze: Cherry Pie,https://www.youtube.com/watch?v=C2JlV5mEBVQ,2.0,8.0,4.0,9.0,3.0,2.0,4.0,3.0,6.0,6.0,8.0,3.0,6.0,10.0,7.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,10.0,6.0,3.0,6.0,5.0,8.0,4.0,6.0,4.0,5.0,2.0,237454,6394,464,258,2024-09-09
Madonna: Like a Prayer,https://www.youtube.com/watch?v=b_rIk8yKDGI,5.0,8.0,8.0,7.0,5.0,1.0,8.0,4.0,1.0,9.0,10.0,10.0,8.0,2.0,9.0,4.0,5.0,10.0,9.0,6.0,6.0,6.0,9.0,4.0,6.0,2.0,6.0,7.0,7.0,9.0,7.0,10.0,6.0,18581530,208231,3522,343,2015-08-29
The Ronettes: Be My Little Baby,https://www.youtube.com/watch?v=jSPpbOGnFgk,5.0,7.0,7.0,5.0,7.0,2.0,6.0,6.0,4.0,8.0,9.0,6.0,6.0,4.0,8.0,7.0,5.0,8.0,4.0,5.0,4.0,8.0,9.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,5.0,1.0,5.0,60810548,654288,15842,163,2020-05-26
